2017-09-29
Cristiano Ronaldo
Luis Suárez
Eden Hazard
Pelé
Lionel Messi
Edinson Cavani
Neymar Jr.
Gianluigi Buffon
Mohamed Salah
Antoine Griezmann
De Gea
Kylian Mbappé
Diego Maradona
Alexis Sánchez
Robert Lewandowski
Isco Suárez
Paulo Dybala
Sergio Ramos
Gonzalo Higuaín
Sergio Agüero
Hugo Lloris
Zlatan Ibrahimović
Leonardo Bonucci
Iniesta Luján
Dries Mertens
Luka Modrić
Ciro Immobile
Harry Kane
Marco Reus
Ronaldo de Lima
Kevin De Bruyne
Diego Godín
Toni Kroos
Romelu Lukaku
Nabil Fekir
Samir Handanovič
James Rodríguez
Daniele De Rossi
Lorenzo Insigne
David Silva
Casillas Fernández
Sergej Milinković-Savić
N'Golo Kanté
Joshua Kimmich
Thiago Silva
Carlos Tévez
Thomas Müller
Gareth Bale
Florian Thauvin
Mats Hummels
Mauro Icardi
Vincent Kompany
Timo Werner
Christian Eriksen
Paul Pogba
Nils Petersen
Marcelo da Silva
Andreas Granqvist
Lev Yashin
Arjen Robben
Kalidou Koulibaly
Parejo Muñoz
Olivier Giroud
Kamil Glik
Medhi Benatia
Paolo Maldini
Thibaut Courtois
Jonas Oliveira
Marco Verratti
Robin van Persie
Michael Carrick
John Terry
Heung Min Son
Quincy Promes
Marc-André ter Stegen
Franck Ribéry
Ivan Rakitić
Giorgio Chiellini
Carlos Casemiro
Fernando Torres
Ronaldinho Moreira
Alex Telles
Michy Batshuayi
David Villa
Leon Bailey
Douglas Costa
Benjamin Lecomte
Leroy Sané
Anderson Talisca
Naby Keïta
Presnel Kimpembe
Coutinho Correia
Jeroen Zoet
Memphis Depay
Raphaël Varane
Yaya Touré
Fernandinho
Ruud Gullit
Radja Nainggolan
Thierry Henry
Dani Alves
Lothar Matthäus
Marek Hamšík
Marlos Bonfim
Nicolás Otamendi
Iago Aspas
Mark Uth
Tim Howard
Luiz Gustavo
Naldo Rodrigues
Jordi Alba
Piqué Bernabeu
Claudio Marchisio
Raheem Sterling
Marco van Basten
Jan Oblak
Roberto Firmino
Lukáš Hrádecký
Falcao Zarate
David Luiz
Matthijs de Ligt
Miralem Pjanić
Ruud Vormer
Leon Goretzka
Kostas Manolas
Aleksandar Kolarov
Javier Zanetti
Stefan de Vrij
Wayne Rooney
Saúl Esclápez
Hirving Lozano
Alessandro Del Piero
Carles Puyol
Dennis Bergkamp
Thomas Lemar
Alessandro Nesta
Pedro Ledesma
Karl Toko-Ekambi
Manuel Neuer
Jan Vertonghen
Sergio Busquets
Filipe Luís
Peter Schmeichel
Azpilicueta
Sergi Roberto
Lucas Hernández
Adán Garrido
Bafétimbi Gomis
Milan Škriniar
Dele Alli
Rodrigo Machado
Javi Martinez
Kaká dos Santos Leite
Ivan Perišić
Burak Yılmaz
Kyle Walker
Antonio Valencia
Nemanja Matić
Bruno Fernandes
Allan Loureiro
Marquinhos Corrêa
Clint Dempsey
Romain Alessandrini
Kasper Schmeichel
Ashley Cole
Samuel Umtiti
Steven N'Zonzi
Corentin Tolisso
Quaresma Bernardo
Jiří Pavlenka
Michael Owen
Michael Laudrup
Luis Alberto
Alan Shearer
Anthony Lopes
Takashi Inui
Juan Cuadrado
Mario Götze
Robert Pirès
Thiago Alcântara
Andriy Shevchenko
Andrea Pirlo
Edwin van der Sar
Patrick Kluivert
Fabinho Tavares
Patrick Vieira
Marcel Desailly
Roberto Carlos
Fedor Smolov
Laurent Blanc
Djaniny Semedo
Santi Cazorla
Diego Costa
Jesse Lingard
Blaise Matuidi
Bas Dost
Wendell Borges
Pierre-Emerick Aubameyang
Gonçalo Guedes
Tiémoué Bakayoko
Mathieu Debuchy
Willian da Silva
Riyad Mahrez
Josip Iličić
Yacine Brahimi
Claudio Bravo
Thorgan Hazard
Niklas Süle
Salif Sané
Alejandro Gómez
Avilés Hurtado
Gheorghe Hagi
Adil Rami
Marcus Rashford
Rui Costa
Deco de Souza
Keylor Navas
Federico Chiesa
Serge Gnabry
Benjamin Pavard
Jari Litmanen
Paulinho M. Júnior
Jay-Jay Okocha
Emmanuel Adebayor
Nani da Cunha
Alireza Jahanbakhsh
Jérôme Roussillon
Ashley Young
Cesc Fàbregas
Sadio Mané
Frank Rijkaard
Emmanuel Petit
Hernán Crespo
Adrien Rabiot
Marc Overmars
Edin Višća
Sebastian Giovinco
Arturo Vidal
Rio Ferdinand
Aaron Mooy
Houssem Aouar
Henrik Larsson
Filippo Inzaghi
Facundo Ferreyra
Luis Hernández
Mariano Mejía
Maicon Roque
Samuel Eto'o
Moussa Marega
Lucas Torreira
Artem Dzyuba
Daniel Caligiuri
Philipp Max
Kieran Trippier
Michael Bradley
Ezequiel Garay
Mário Fernandes
Michael Gregoritsch
Malcom de Oliveira
Ousmane Dembélé
Yann Sommer
Mario Mandžukić
Javier Hernández
Lars Bender
John Stones
Emil Forsberg
Xherdan Shaqiri
Alphonse Areola
Rui Patrício
Ahmed Musa
Jérôme Boateng
Luuk de Jong
Steve Mandanda
Patrice Evra
Marcos Rojo
José María Giménez
Denis Cheryshev
Teddy Chevalier
Andrea Masiello
