2009-06-25
Mike Tyson
Muhammad Ali
Ricky Hatton
Ray Robinson
Thomas Hearns
Miguel Cotto
Shane Mosely
Jake Lamotta
Marvin Hagler
Roy Jones Jr.
Carlos Monzon
Jermaine Taylor
Kelly Pavlik
Manny Pacquiao
Pernell Whittaker
Julio Caesar Chavez
George Foreman
Joe Frazier
Lennox Lewis
Ray Leonard
James Toney
Roberto Duran
Marco Antonio Barrera
Amin Asikainen
Paulie Malignaggi
Kermit Cinteron
Eddie Chambers
Arturo Gatti
Corey Spinks
Tommy Morrison
Sergio Mora
Fernando Montiel
Jorge Armando Arce
Anthony Mundine
Emanuel Agustus
Vinny Paz
Vivian Harris
Billy Dib
Diego Corrales
Erik Morales
Nate Campbell
Ronald Wright
Yuriorkis Gamboa
Nonito Donair
Arthur Abraham
Joe Calzaghe
Roberto Guerrero
Edwim Valero
Victor Ortiz
