2018-11-29
Protagonist (Persona 3)
Yukari Takeba
Junpei Iori
Mitsuru Kirijo
Akihiko Sanada
Shinjiro Aragaki
Fuuka Yamagishi
Aegis (Persona)
Ken Amada
Koromaru
Female Protagonist (Persona 3 Portable)
Yu Narukami
Yosuke Hanamura
Chie Satonaka
Yukiko Amagi
Kanji Tatsumi
Rise Kujikawa
Teddie (Persona)
Naoto Shirogane
Joker (Persona)
Morgana (Persona)
Ryuji Sakamoto
Ann Takamaki
Yusuke Kitagawa
Makoto Niijima
Futaba Sakura
Haru Okumura
Goro Akechi
Elizabeth (Persona)
Theodore (Persona)
Margaret (Persona)
Marie (Persona)
Caroline (Persona)
Justine (Persona)
